Symbol,DateTime,Open,High,Low,Close,Volume,RSI_RSI,MACD_MACD,MACD_MACD_Signal,MACD_MACD_Hist
AAPL,2021-06-15 18:05:00,127.2169,127.2463,127.2169,127.2463,1271,,,,
AAPL,2021-06-15 18:04:00,127.2365,127.2365,127.2365,127.2365,400,,,,
AAPL,2021-06-15 18:00:00,127.2757,127.2757,127.2757,127.2757,100,,,,
AAPL,2021-06-15 17:58:00,127.2365,127.2365,127.2365,127.2365,381,,,,
AAPL,2021-06-15 17:57:00,127.2365,127.2365,127.2365,127.2365,496,,,,
AAPL,2021-06-15 17:54:00,127.2365,127.2365,127.2365,127.2365,378,,,,
AAPL,2021-06-15 17:53:00,127.2659,127.2659,127.2365,127.2365,1300,,,,
AAPL,2021-06-15 17:51:00,127.2365,127.2659,127.2365,127.2659,419,,,,
AAPL,2021-06-15 17:46:00,127.2659,127.2659,127.2659,127.2659,100,,,,
AAPL,2021-06-15 17:39:00,127.2757,127.2757,127.2757,127.2757,388,,,,
AAPL,2021-06-15 17:38:00,127.2855,127.2855,127.2757,127.2757,1245,,,,
AAPL,2021-06-15 17:37:00,127.2952,127.2952,127.2952,127.2952,665,,,,
AAPL,2021-06-15 17:35:00,127.2953,127.2953,127.2855,127.2855,650,,,,
AAPL,2021-06-15 17:33:00,127.2953,127.2953,127.2953,127.2953,200,,,,
AAPL,2021-06-15 17:32:00,127.2855,127.2953,127.2855,127.2953,1635,,,,
AAPL,2021-06-15 17:31:00,127.2757,127.2757,127.2757,127.2757,700,,,,
AAPL,2021-06-15 17:30:00,127.2855,127.2855,127.2855,127.2855,425,,,,
AAPL,2021-06-15 17:29:00,127.3052,127.3150,127.3052,127.3150,966,,,,
AAPL,2021-06-15 17:24:00,127.2855,127.2855,127.2855,127.2855,200,,,,
AAPL,2021-06-15 17:22:00,127.2757,127.2953,127.2757,127.2953,636,,,,
AAPL,2021-06-15 17:20:00,127.2757,127.2757,127.2757,127.2757,880,,,,
AAPL,2021-06-15 17:19:00,127.2757,127.2757,127.2757,127.2757,240,,,,
AAPL,2021-06-15 17:18:00,127.2463,127.2757,127.2463,127.2757,536,,,,
AAPL,2021-06-15 17:17:00,127.2561,127.2561,127.2463,127.2463,942,,,,
AAPL,2021-06-15 17:16:00,127.2659,127.2659,127.2659,127.2659,2000,,,,
AAPL,2021-06-15 17:15:00,127.2659,127.2855,127.2463,127.2855,2200,,,,
AAPL,2021-06-15 17:14:00,127.2463,127.2659,127.2463,127.2659,1200,,,,
AAPL,2021-06-15 17:13:00,127.2855,127.2855,127.2855,127.2855,443,,,,
AAPL,2021-06-15 17:12:00,127.2659,127.2659,127.2659,127.2659,100,,,,
AAPL,2021-06-15 17:08:00,127.2365,127.2365,127.2365,127.2365,100,,,,
AAPL,2021-06-15 17:07:00,127.2366,127.2366,127.2366,127.2366,1000,,,,
AAPL,2021-06-15 17:06:00,127.2463,127.2463,127.2365,127.2365,200,,,,
AAPL,2021-06-15 17:05:00,127.2365,127.2757,127.2365,127.2757,300,,,,
AAPL,2021-06-15 17:03:00,127.2561,127.2561,127.2561,127.2561,272,,,,
AAPL,2021-06-15 17:02:00,127.2757,127.2757,127.2757,127.2757,180,,,,
AAPL,2021-06-15 17:01:00,127.2953,127.2953,127.2953,127.2953,334,,,,
AAPL,2021-06-15 17:00:00,127.3052,127.3052,127.2953,127.2953,267,,,,
AAPL,2021-06-15 16:59:00,127.3052,127.3150,127.3052,127.3150,374,,,,
AAPL,2021-06-15 16:58:00,127.2953,127.2953,127.2953,127.2953,100,,,,
AAPL,2021-06-15 16:57:00,127.2953,127.3052,127.2953,127.3052,637,,,,
AAPL,2021-06-15 16:53:00,127.3148,127.3148,127.3148,127.3148,170,,,,
AAPL,2021-06-15 16:52:00,127.2659,127.2659,127.2659,127.2659,590,,,,
AAPL,2021-06-15 16:51:00,127.2855,127.2855,127.2855,127.2855,600,,,,
AAPL,2021-06-15 16:50:00,127.2365,127.2365,127.2365,127.2365,150,,,,
AAPL,2021-06-15 16:49:00,127.2855,127.2855,127.2855,127.2855,500,,,,
AAPL,2021-06-15 16:48:00,127.2855,127.3052,127.2855,127.3052,901,,,,
AAPL,2021-06-15 16:47:00,127.2757,127.2757,127.2757,127.2757,100,,,,
AAPL,2021-06-15 16:45:00,127.2757,127.2757,127.2757,127.2757,231,,,,
AAPL,2021-06-15 16:44:00,127.3150,127.3150,127.3150,127.3150,3700,,,,
AAPL,2021-06-15 16:43:00,127.2561,127.3150,127.2561,127.3150,6436,,,,
AAPL,2021-06-15 16:42:00,127.2463,127.2463,127.2463,127.2463,919,,,,
AAPL,2021-06-15 16:41:00,127.1776,127.2463,127.1776,127.2463,457,,,,
AAPL,2021-06-15 16:40:00,127.2561,127.2561,127.2463,127.2463,750,,,,
AAPL,2021-06-15 16:39:00,127.2365,127.2561,127.2365,127.2561,1414,,,,
AAPL,2021-06-15 16:38:00,127.2659,127.3640,127.2561,127.2561,2900,,,,
AAPL,2021-06-15 16:37:00,127.2463,127.2463,127.2365,127.2463,4849,,,,
